date,cases
2021-04-24,0
2021-04-25,4
2021-04-26,4
2021-04-27,2
2021-04-28,2
2021-04-29,1
2021-04-30,4
2021-05-01,3
2021-05-02,4
2021-05-03,1
2021-05-04,4
2021-05-05,1
2021-05-06,5
2021-05-07,3
2021-05-08,1
2021-05-09,1
2021-05-10,0
2021-05-11,1
2021-05-12,1
2021-05-13,0
2021-05-14,0
2021-05-15,1
2021-05-16,5
2021-05-17,1
2021-05-18,6
2021-05-19,1
2021-05-20,1
2021-05-21,3
2021-05-22,0
2021-05-23,4
2021-05-24,2
2021-05-25,1
2021-05-26,0
2021-05-27,1
2021-05-28,0
2021-05-29,1
2021-05-30,2
2021-05-31,0
2021-06-01,5
2021-06-02,2
2021-06-03,1
2021-06-04,2
2021-06-05,0
2021-06-06,3
2021-06-07,4
2021-06-08,6
2021-06-09,1
2021-06-10,5
2021-06-11,4
2021-06-12,3
2021-06-13,0
2021-06-14,1
2021-06-15,0
2021-06-16,2
2021-06-17,1
2021-06-18,2
2021-06-19,2
2021-06-20,2
2021-06-21,0
2021-06-22,4
2021-06-23,1
2021-06-24,2
2021-06-25,3
2021-06-26,3
2021-06-27,6
2021-06-28,5
2021-06-29,1
2021-06-30,1
2021-07-01,3
2021-07-02,3
2021-07-03,3
2021-07-04,9
2021-07-05,1
2021-07-06,5
2021-07-07,2
2021-07-08,0
2021-07-09,0
2021-07-10,3
2021-07-11,3
2021-07-12,15
2021-07-13,0
2021-07-14,22
2021-07-15,2
2021-07-16,6
2021-07-17,4
2021-07-18,3
2021-07-19,6
2021-07-20,8
2021-07-21,6
2021-07-22,5
2021-07-23,3
2021-07-24,1
2021-07-25,0
2021-07-26,2
2021-07-27,1
2021-07-28,6
2021-07-29,0
2021-07-30,4
2021-07-31,0
2021-08-01,4
2021-08-02,2
2021-08-03,2
2021-08-04,0
2021-08-05,1
2021-08-06,2
2021-08-07,4
2021-08-08,12
2021-08-09,3
2021-08-10,3
2021-08-11,8
2021-08-12,0
2021-08-13,3
2021-08-14,3
2021-08-15,4
2021-08-16,0
2021-08-17,12
2021-08-18,12
2021-08-19,20
2021-08-20,22
2021-08-21,31
2021-08-22,39
2021-08-23,40
2021-08-24,62
2021-08-25,67
2021-08-26,81
2021-08-27,78
2021-08-28,78
2021-08-29,56
2021-08-30,63
2021-08-31,58
2021-09-01,48
2021-09-02,29
2021-09-03,24
2021-09-04,27
2021-09-05,19
2021-09-06,27
2021-09-07,14
2021-09-08,22
2021-09-09,13
2021-09-10,25
2021-09-11,18
2021-09-12,42
2021-09-13,17
2021-09-14,11
2021-09-15,20
2021-09-16,14
2021-09-17,23
2021-09-18,24
2021-09-19,25
2021-09-20,11
2021-09-21,25
2021-09-22,17
2021-09-23,12
2021-09-24,12
2021-09-25,23
2021-09-26,14
2021-09-27,9
2021-09-28,45
2021-09-29,26
2021-09-30,18
2021-10-01,29
2021-10-02,28
2021-10-03,27
2021-10-04,27
2021-10-05,42
2021-10-06,38
2021-10-07,41
2021-10-08,40
2021-10-09,48
2021-10-10,44
2021-10-11,37
2021-10-12,51
2021-10-13,90
2021-10-14,55
2021-10-15,40
2021-10-16,54
2021-10-17,82
2021-10-18,86
2021-10-19,90
2021-10-20,102
2021-10-21,116
2021-10-22,100
2021-10-23,92
2021-10-24,105
2021-10-25,74
2021-10-26,87
2021-10-27,111
2021-10-28,153
2021-10-29,117
2021-10-30,162
2021-10-31,155
2021-11-01,113
2021-11-02,120
2021-11-03,173
2021-11-04,181
2021-11-05,154
2021-11-06,170
2021-11-07,150
2021-11-08,124
2021-11-09,159
2021-11-10,226
2021-11-11,214
2021-11-12,172
2021-11-13,147
2021-11-14,220
2021-11-15,183
2021-11-16,165
2021-11-17,202
2021-11-18,176
2021-11-19,171
2021-11-20,206
2021-11-21,205
2021-11-22,183
2021-11-23,182
2021-11-24,195
2021-11-25,198
2021-11-26,166
2021-11-27,137
2021-11-28,175
2021-11-29,131
2021-11-30,137
2021-12-01,133
2021-12-02,111
2021-12-03,128
2021-12-04,102
2021-12-05,99
2021-12-06,88
2021-12-07,107
2021-12-08,113
2021-12-09,93
2021-12-10,87
2021-12-11,97
2021-12-12,72
2021-12-13,65
2021-12-14,76
2021-12-15,101
2021-12-16,80
2021-12-17,67
2021-12-18,77
2021-12-19,45
2021-12-20,37
2021-12-21,58
2021-12-22,86
2021-12-23,51
2021-12-24,86
2021-12-25,47
2021-12-26,37
2021-12-27,35
2021-12-28,74
2021-12-29,47
2021-12-30,66
2021-12-31,69
2022-01-01,65
2022-01-02,53
2022-01-03,48
2022-01-04,44
2022-01-05,58
2022-01-06,74
2022-01-07,64
2022-01-08,63
2022-01-09,61
2022-01-10,52
2022-01-11,68
2022-01-12,57
2022-01-13,47
2022-01-14,53
2022-01-15,89
2022-01-16,31
2022-01-17,81
2022-01-18,66
2022-01-19,60
2022-01-20,78
2022-01-21,72
2022-01-22,75
2022-01-23,78
2022-01-24,65
2022-01-25,59
2022-01-26,121
2022-01-27,157
2022-01-28,166
2022-01-29,190
2022-01-30,135
2022-01-31,176
2022-02-01,181
2022-02-02,205
2022-02-03,281
2022-02-04,288
2022-02-05,212
2022-02-06,233
2022-02-07,289
2022-02-08,186
2022-02-09,449
2022-02-10,470
2022-02-11,678
2022-02-12,721
2022-02-13,687
2022-02-14,750
2022-02-15,1191
2022-02-16,1545
2022-02-17,1908
2022-02-18,1770
2022-02-19,2511
2022-02-20,2097
2022-02-21,2848
2022-02-22,3415
2022-02-23,3955
2022-02-24,5389
2022-02-25,24239
2022-02-26,12754
2022-02-27,14564
2022-02-28,19869
2022-03-01,22189
2022-03-02,23123
2022-03-03,22479
2022-03-04,18846
2022-03-05,15205
2022-03-06,17466
2022-03-07,23891
2022-03-08,22437
2022-03-09,20993
2022-03-10,21016
2022-03-11,18662
2022-03-12,14475
2022-03-13,15572
2022-03-14,21642
2022-03-15,19481
2022-03-16,19577
2022-03-17,17059
2022-03-18,15589
2022-03-19,12024
2022-03-20,14476
2022-03-21,20920
2022-03-22,20075
2022-03-23,18471
2022-03-24,15922
2022-03-25,14180
2022-03-26,10650
2022-03-27,12532
2022-03-28,17189
2022-03-29,15931
2022-03-30,15286
2022-03-31,13542
2022-04-01,11657
2022-04-02,8840
2022-04-03,10262
2022-04-04,14190
2022-04-05,12662
2022-04-06,11710
2022-04-07,10003
2022-04-08,8535
2022-04-09,6759
2022-04-10,7664
2022-04-11,11125
2022-04-12,9491
2022-04-13,9600
2022-04-14,7768
2022-04-15,5773
2022-04-16,5976
2022-04-17,6297
2022-04-18,8370
2022-04-19,11301
2022-04-20,10306
2022-04-21,9398
2022-04-22,7972
2022-04-23,5720
2022-04-24,5760
2022-04-25,6492
2022-04-26,9957
2022-04-27,9168
2022-04-28,8320
2022-04-29,7139
2022-04-30,5786
2022-05-01,6774
2022-05-02,9264
2022-05-03,8719
2022-05-04,8792
2022-05-05,7481
2022-05-06,6855
2022-05-07,5789
2022-05-08,6532
2022-05-09,9354
2022-05-10,8139
2022-05-11,9575
2022-05-12,7550
2022-05-13,7142
2022-05-14,5899
2022-05-15,7193
2022-05-16,10077
2022-05-17,9533
2022-05-18,9268
2022-05-19,7943
2022-05-20,6749
2022-05-21,5114
2022-05-22,6120
2022-05-23,8578
2022-05-24,8295
2022-05-25,7735
2022-05-26,7027
2022-05-27,6442
2022-05-28,4925
2022-05-29,5953
2022-05-30,8572
2022-05-31,8350
2022-06-01,8013
2022-06-02,6362
2022-06-03,6406
2022-06-04,4496
2022-06-05,4526
2022-06-06,5918
2022-06-07,7220
2022-06-08,8166
2022-06-09,6454
2022-06-10,5265
2022-06-11,4534
2022-06-12,4598
2022-06-13,6328
2022-06-14,5726
2022-06-15,5650
2022-06-16,5026
2022-06-17,4509
2022-06-18,3339
2022-06-19,4165
2022-06-20,5796
2022-06-21,5677
2022-06-22,5483
2022-06-23,4984
2022-06-24,3987
2022-06-25,4588
2022-06-26,5736
2022-06-27,8305
2022-06-28,8035
2022-06-29,7787
2022-06-30,7397
2022-07-01,6668
2022-07-02,5447
2022-07-03,6561
2022-07-04,9703
2022-07-05,10411
2022-07-06,10751
2022-07-07,9391
2022-07-08,9368
2022-07-09,7639
2022-07-10,8573
2022-07-11,11595
2022-07-12,11570
2022-07-13,11494
2022-07-14,10598
2022-07-15,9331
2022-07-16,6674
2022-07-17,7581
2022-07-18,10500
2022-07-19,10452
2022-07-20,10124
2022-07-21,8839
2022-07-22,7843
2022-07-23,5992
2022-07-24,6901
2022-07-25,9468
2022-07-26,8895
2022-07-27,7762
2022-07-28,7704
2022-07-29,6263
2022-07-30,4571
2022-07-31,5235
2022-08-01,7152
2022-08-02,6537
2022-08-03,6169
2022-08-04,5367
2022-08-05,4799
2022-08-06,3544
2022-08-07,3979
2022-08-08,5950
2022-08-09,5241
2022-08-10,4880
2022-08-11,4163
2022-08-12,3643
2022-08-13,2852
2022-08-14,3347
2022-08-15,4849
2022-08-16,4542
2022-08-17,4523
2022-08-18,3788
2022-08-19,3335
2022-08-20,2259
2022-08-21,2660
2022-08-22,3708
2022-08-23,3201
2022-08-24,2831
2022-08-25,2370
2022-08-26,2177
2022-08-27,1421
2022-08-28,1656
2022-08-29,2482
2022-08-30,2272
2022-08-31,2104
2022-09-01,1824
2022-09-02,1641
2022-09-03,1104
2022-09-04,1281
2022-09-05,2052
2022-09-06,1837
2022-09-07,1678
2022-09-08,1502
2022-09-09,1409
2022-09-10,956
2022-09-11,1144
2022-09-12,1953
2022-09-13,1535
2022-09-14,1550
2022-09-15,1295
2022-09-16,1110
2022-09-17,868
2022-09-18,1014
2022-09-19,1765
2022-09-20,1592
2022-09-21,1626
2022-09-22,1508
2022-09-23,1270
2022-09-24,901
2022-09-25,940
2022-09-26,1249
2022-09-27,1910
2022-09-28,1622
2022-09-29,1557
2022-09-30,1415
2022-10-01,916
2022-10-02,1141
2022-10-03,1773
2022-10-04,1808
2022-10-05,1741
2022-10-06,1706
2022-10-07,1509
2022-10-08,1111
2022-10-09,1372
2022-10-10,2413
2022-10-11,2202
2022-10-12,2241
2022-10-13,2144
2022-10-14,1853
2022-10-15,1447
2022-10-16,1734
2022-10-17,2861
2022-10-18,2870
2022-10-19,2610
2022-10-20,2223
2022-10-21,2137
2022-10-22,1554
2022-10-23,231
